Company name,Description,Industrial
Walgreen,"Walgreen Co. operates as a drugstore chain in the United States. Its drugstores are engaged in the retail sale of prescription and non-prescription drugs and general merchandise, including household products, convenience and fresh foods, personal care, beauty care, photofinishing and candy. The company offers pharmacy, health and wellness solutions, which include retail, specialty pharmacy, infusion and respiratory services, mail service, convenient care clinics and worksite clinics. Walgreen offers pharmacy services thatRead More provide customers nationwide access to a variety of medications, services and programs for managing complex and chronic health conditions. The company offers its customers infusion therapy services, including the administration of intravenous medications for cancer treatments, chronic pain, heart failure, and other infections and disorders. It provides these infusion services at home, at the workplace, in a physician's office or in a Walgreens alternate treatment site. The company provides clinical services, such as laboratory monitoring, medication profile review, nutritional assessments, patient and caregiver education. Its advanced pharmacy system offers pharmacists easy access to patient prescription records, which allows access to refills and emergency supplies at any of its pharmacies, eases prescription transfers, and enables any Walgreens pharmacist to provide ongoing treatment consultation. The company's websites allow consumers to purchase general merchandise, including beauty, personal care, home medical equipment, contact lens, vitamins and supplements and other health and wellness solutions. It also offers services through Take Care Health Systems, which manages its Take Care Clinics at select Walgreens drugstores throughout the country and Take Care Health Employer Solutions that manages primary care, health and wellness, occupational health, pharmacy and fitness centers at large employer campuses. The company was founded by Charles R. Walgreen, Sr. in 1901 and is headquartered in Deerfield, IL.",Drug Retail
XL Group,"XL Group Plc is a global insurance and reinsurance company. It provides property, casualty and specialty products to industrial, commercial and professional firms, insurance companies and other enterprises. It operates through two operating segments: Insurance and Reinsurance. The Insurance segment markets and distributes coverage through a wide variety of local, national and international producers and provides customized insurance policies for complex corporate risks that may require large limits. The Reinsurance segmentRead More provides casualty, property risk, property catastrophe, marine, aviation, treaty and other specialty reinsurance on a global basis with business being written on both a proportional and non proportional basis and also on a facultative basis. The company was founded in 1986 and is headquartered in Dublin, Ireland.",Diversified Insurance
Senshu Ikeda Holdings,"Senshu Ikeda Holdings, Inc. engages in the regular banking business, which is carried out by its subsidiaries. Its operations deal with banking services, leasing services, credit guarantee services, credit card services, and other services; which include venture capital business, computer software development and sales business, investment advisory business, information service provider business, loan business, temporary staffing business, collateral real estate evaluation and research services, and planning and managementRead More of ATM in stations. The company was founded on October 1, 2009 and is headquartered in Osaka, Japan.",Regional Banks
BRF,"BRF SA operates as a food company that focuses on the production and sale of poultry, pork, beef cuts, milk, dairy products and processed food products under several brands. Its processed products include marinated, frozen, whole and cut Chester rooster and turkey meats, specialty meats, frozen processed meats, frozen prepared entrees, portioned products and sliced products. The company also sells margarine, mayonnaise, mustard, ketchup, juices, soy products, animal feed, fresh pasta, sweet specialties and sandwiches. TheRead More company operates through four segments: Domestic Market, Foreign Market, Dairy Products and Food Service. The Domestic Market segment includes its sales executed in Brazil, except those relating to products in the dairy and the food service channel. The Foreign Market segment includes the company's sales for exports and those generated outside Brazil, except those relating to products in the dairy and the food service channel. The Dairy Products segment includes its sales of milk and dairy products produced in the domestic and foreign markets. The Food Service segment includes the its sales of all products in its portfolio, except in the category of dairy products, generated in the domestic and foreign market to the customers for food service category that includes bars, restaurants, industrial kitchens, and others. BRF was founded in 1934 and is headquartered in Sao Paulo, Brazil.",Food Processing
Liberbank,"Liberbank SA engages in the provision of financial and banking business. It operates through the banking and corporate business segments. It offers a range of solutions including accounts and cards, mortgages and loans, as well as investments and savings, and insurance. It offers its services among corporate and individuals. The company was founded on May 23, 2011 and is headquartered in Madrid, Spain.",Regional Banks
TDC,"TDC A/S engages in the provision of communications and entertainment solutions. It offers landline telephony, landline broadband, mobility services, pay television and The multi-play segment. Its brands include TDC, Fullrate, YouSee, Telmore, NetDesign, TDC Hosting and Dansk Kabel TV. The company was founded on November 14, 1990 and is headquartered in Copenhagen, Denmark.",Telecommunications services
B3,"B3 is a global leader in the exchange industry. Resulting from the business combination of BM&F BOVESPA and CETIP, it creates and operates trading, clearing, settlement and registration systems for all of the major asset classes, from equities and corporate debt securities to derivatives in FX, interest rates and commodities, as well as structured transactions. Headquartered in São Paulo and with offices in New York, London and Shanghai, B3 was founded in March 2017.",Investment Services
RusHydro,"Federal Hydro-Generating Co. RusHydro PJSC engages in the power generation and production using renewable energy sources. It operates through the following segments: Generation, Retailing, Research and Development Institutes, Repair, and Contractors. The Generation segment deals with the production and sale of electricity and capacity operations. The Retailing segment handles the purchasing and reselling of electricity to third-party customers. The Research and Development Institutes segment provides research of utilitiesRead More and the construction of hydropower facilities. The Repair segment repairs, upgrades, and reconstructs equipment and facilities. The Contractors segment involves in the construction of hydropower stations. The company was founded on December 26, 2004 and is headquartered in Krasnoyarsk, Russia.",Electric Utilities
Tullow Oil,"Tullow Oil Plc engages in the oil and gas exploration, development and production, and the sale of hydrocarbons and related activities. It holds interests in exploration and production licences across countries in West & North Africa, South & East Africa and Europe, South America and Asia. The company was founded by Aidan Joseph Heavey in 1985 and is headquartered in London, the United Kingdom.",Oil & Gas Operations
Credit Saison,"Credit Saison Co., Ltd. engages in the provision of consumer credit services and finance. It operates through the following segments: Credit Service, Lease, Finance, Real Estate-related, and Entertainment. The Credit Service segment is involved in credit card shopping, cash advance business, processing agency business, and servicing business. The Lease segment is involved in providing finance leasing services. The Finance segment is involved in credit guarantees and loans collateralized by real estate properties. The RealRead More Estate-related segment is involved in real estate liquidation, special servicing, real estate financing guarantees, and strategic investments. The Entertainment segment is involved in amusement business. The company was founded on May 1, 1951 and is headquartered in Tokyo, Japan.",Consumer Financial Services
Kingdom Holding,"Kingdom Holding Co. is an investment company. It operates through the following business segments: Equity, Hotels and Real Estate & Domestic. The Equity segment involves in investment securities quoted on the Saudi stock and international quoted securities as well as in private equities, managed funds and other entities existing within the structure of the Group. The Hotels segment includes investments in subsidiaries and associates that are in the business of managing and owning hotel properties and related activities. TheRead More Real Estate & Domestic segment includes investments in activities relating to ownership and development of land and real estate projects and local entities. The company was founded by Al-Waleed bin Talal bin Abdul Aziz bin Al-Saud on 1980 and is headquartered in Riyadh, Saudi Arabia.",Investment Services
Enbridge,"Enbridge, Inc. engages in the provision of gas and oil businesses. It operates through the following segments: Liquid pipelines, gas distribution, gas pipelines processing and energy services, sponsored investments, and corporate. The Liquids Pipelines segment consists of common carrier and contract crude oil, natural gas liquids and refined products pipelines and terminals in Canada and U.S., including Canadian Mainline, Regional Oil Sands System, Southern Lights Pipeline, Spearhead Pipeline, Seaway Crude Pipeline interestRead More and other feeder pipelines. The Gas Distribution segment consists of the company's natural gas utility operations which serves residential, commercial and industrial customers, primarily in central and eastern Ontario as well as northern New York State. The Gas Pipelines, Processing and Energy Services segment consists of investments in natural gas pipelines, processing and green energy projects, the company's commodity marketing businesses and international activities. The Sponsored Investments segment includes the company's ownership interest in Enbridge Energy Partners LP, Alberta Clipper Project, Enbridge Income Fund. The Corporate segment consists of the company's investment in Noverco, Inc., new business development activities, general corporate investments and financing costs not allocated to the business segments. The company was founded on April 30, 1949 and is headquartered in Calgary, Canada.",Oil Services & Equipment
First Abu Dhabi Bank,"National Bank of Abu Dhabi provides corporate, retail, private, investment and Islamic banking services. The company operates its business through the following segments: Global Wholesale, Global Wealth, Global Retail & Commercial and Head Office. The Global Wholesale segment comprises of global banking and global markets, providing corporate, wholesale and investment clients with strategic advice and bespoke innovative solutions catering for their different needs. The Global wealth Global Wealth enfolds high net worthRead More individuals and other clients with sophisticated investment needs. The Global Retail & Commercial segment targets the retail and commercial customer segments together with their associated operations and administration. The head Office segment provides centralized human resources, information technology, finance, investor relations, risk management, corporate communications, property, legal, internal audit, compliance, procurement, treasury operations and administrative support to all of its businesses units. The company was founded by Zayed bin Sultan Al-Nahyan on February 13, 1968 and is headquartered in Abu Dhabi, United Arab Emirates.",Regional Banks
Japan Tobacco,"Japan Tobacco, Inc. engages in the manufacture and sale of tobacco, pharmaceutical, beverage and processed food products. It operates through the following segments: Domestic Tobacco Business, International Tobacco Business, Pharmaceutical Business, Beverage Business, Processed Food Business and Others. The Domestic Tobacco Business segment deals with the production and sale of tobacco products in domestic areas. The International Tobacco Business segment manufactures and markets tobacco products worldwide. TheRead More Pharmaceutical Business segment develops, manufactures, and sells prescription drugs. The Beverage Business segment manufactures and sells coffee and flavored water drinks. The Processed Food Business segment offers processed food products that include frozen noodles, frozen and packed cooked rice and frozen baked bread, and seasonings. The Others segment includes business activities relating to rent of real estate and corporate expenses relating to corporate communication and operation of the head office. The company was founded on April 1, 1985 and is headquartered in Tokyo, Japan.",Tobacco
Tauron Group,"TAURON Polska Energia SA is a holding company, which is engaged in the distribution of electricity. It operates through the Sales and Holding Activity segments. It is also involved in the following activities: operation of central companies and holdings, excluding financial holdings; electric energy trading; wholesale of fuel and derivative products such as coal and biomass trading; and gas fuel trading. The company was founded on December 6, 2006 and is headquartered in Katowice, Poland.",Electric Utilities
GameStop,"GameStop Crop. operates as a multichannel video game, consumer electronics and wireless services retailer, which offers customers the most popular games, hardware and game accessories for next generation video game systems and the PC. The company sells new and pre-owned video game hardware, physical and digital video game software, accessories, as well as PC entertainment software, new and pre-owned mobile and consumer electronics products and other merchandise. It operates electronic commerce web sites under the namesRead More www.gamestop.com, www.ebgames.com.au, www.ebgames.co.nz, www.gamestop.ca, www.gamestop.it, www.gamestop.es, www.gamestop.ie, www.gamestop.de, www.gamestop.co.uk and www.micromania.fr. The company also sells various types of digital products, including downloadable content, network points cards, prepaid digital and online timecards and digitally downloadable software. Its mobile business consists primarily of pre-owned mobile devices, tablets and related accessories. The company was founded in June 2000 and is headquartered in Grapevine, TX.",Specialty Stores
Ecobank Transnational Incorporated,"Ecobank Transnational, Inc. provides wholesale, retail, investment and transactional banking services. It operates through two segments: Domestic Bank & Corporate and Investment Bank.  The Domestic Bank segment provides convenient, accessible and reliable financial products and services to individuals, small businesses, local corporates and public sector organizations. The Corporate & Investment Bank segment provides financial solutions to global, regional and public corporates, financial institutions and internationalRead More organisations. Its products and services include pan-African lending, trade services, cash management, internet banking and value-chain finance. This segment also provides treasury services, corporate finance, investment banking and securities and asset management. Ecobank Transnational was founded in 1985 and is headquartered in Lom, Togo.",Regional Banks
Syndicate Bank,"Syndicate Bank Ltd. provides banking services. Its banking services include Internet banking facilities, SMS banking, Mobile banking, Multi-city Accounts, debit/credit card, Point of sales terminals, online tax remittances and Cash management services. The company provides services of hardware testing, retail loan follow-up, mailer dispatch, card personalization services, creating various customer database and other services facilitating banking operations. Syndicate Bank was founded by Upendra Ananth Pai, Vaman Kudva andRead More Tonse Madhav Ananth Pai in 1925 and is headquartered in Manipal, India.",Regional Banks
Supervalu,"SUPERVALU, Inc. engages in the distribution of food and grocery store operations. It operates through the following segments: Independent Business, Save-A-Lot, and Retail Food. The Independent Business segment engages in wholesale distribution to independently-owned retail food stores and other customers. The Save-A-Lot segment involves the sale of groceries at retail locations operated and licensed by the company. The Retail Food segment includes the sale of groceries at retail locations it operates. The company wasRead More founded in 1925 and is headquartered in Eden Prairie, MN.",Food Retail
Exelon,"Exelon Corp. operates as a utility services holding company, which engages in the energy generation, power marketing, and energy delivery business. The company operates through the following segments: ComEd, PECO, BGE, Generation's Mid Atlantic, Midwest, New England, New York, ERCOT and other regions in Generation. The ComEd segment engages in energy delivery business, which consists of the purchase and regulated retail sale of electricity and the provision of electricity transmission and distribution services to retailRead More customers in northern Illinois, including the city of Chicago. The PEC segment engages in energy delivery business, which consists of the purchase and regulated retail sale of electricity and the provision of electricity transmission and distribution services to retail customers in southeastern Pennsylvania, including the city of Philadelphia, as well as the purchase and regulated retail sale of natural gas and the provision of natural gas distribution services to retail customers in the Pennsylvania counties surrounding the city of Philadelphia. The BG segment engages in energy delivery business, which consists of the purchase and regulated retail sale of electricity and the provision of electricity transmission and distribution services to retail customers in central Maryland, including the city of Baltimore, as well as the purchase and regulated retail sale of natural gas and the provision of natural gas distribution services to retail customers in central Maryland, including the city of Baltimore. The Generation business consists of the generation, physical delivery and marketing of power across multiple geographical regions through its customer-facing business, Constellation, which sells electricity and natural gas to both wholesale and retail customers. Exelon was founded in February 1999 and is headquartered in Chicago, IL.",Electric Utilities
Popular,"Popular, Inc. engages in the provision of financial banking services. It operates through the Banco Popular de Puerto Rico and Banco Popular North America segments. Its products and services include savings and checking accounts, mortgage and consumer loans, credit cards, cash management, investment banking, and wealth management. The company was founded on October 5, 1893 and is headquartered in San Juan, Puerto Rico.",Regional Banks
Taiwan Mobile,"Taiwan Mobile Co. Ltd. engages in the provision of """"Quadruple Play"""" services covering mobile, fixed-line, cable television and broadband. Its products and services include postpaid service, prepaid service, international call, and international roaming. The company was founded on February 25, 1997 and is headquartered in Taipei, Taiwan.",Telecommunications services
First Niagara Financial,"First Niagara Financial Group, Inc. operates through its wholly owned subsidiary, First Niagara Bank, N.A., provides a wide range of retail and commercial banking as well as other financial services to individuals, families and businesses across Upstate New York, Pennsylvania, Connecticut and Massachusetts. It operates through two segments: Banking and Financial Services. The Banking segment includes all of its retail and commercial banking operations. The financial services segment offers a wide range of insurance productsRead More and consulting services to help both its retail and commercial customers achieve their financial goals. The company was founded in April 1998 and is headquartered in Buffalo, NY.",Thrifts & Mortgage Finance
Outokumpu,"Outokumpu Oyj is engaged in the manufacture of stainless steel. It operates through the following business areas: Stainless Coil EMEA, Stainless Coil Americas, Stainless APAC, and High Performance Stainless and Alloy. The company is headquartered in Espoo, Finland.",Iron & Steel
Gansu Jiu Steel Group Hongxing Iron & Steel,"Gansu Jiu Steel Group Hongxing Iron & Steel Co., Ltd. engages in the production and distribution of iron, steel, and rolled products. Its products include high-speed wires, steel basr, medium platse, hot rolled coils, cold rolled coils, cold rolled plates, and casting billets. The company was founded on April 17, 1999 and is headquartered in Jiayuguan, China.",Iron & Steel
Keiyo Bank,"The Keiyo Bank, Ltd. engages in the provision of financial services such as banking, securities, insurance, trust, credit card, and credit guarantee. It operates through the Banking and Others segments. The Banking segment consists of deposits, loans, foreign and domestic exchanges, securities, investment trusts, corporate bonds, and insurance agency services. The Others segment includes staffing, office agency, credit card, credit guarantee, and collateral evaluation services. The company was founded on March 31, 1943 andRead More is headquartered in Chiba, Japan.",Regional Banks
Hokkoku Bank,"The Hokkoku Bank, Ltd. engages in regular banking operations and other financial services. It operates through the following segments: Banking Business and Leasing Business. The Banking Business segment provides regular banking services, credit card business, credit guarantee business, debt collection and business restructuring fund operations. The Leasing Business segment provides leasing services. The company was founded on December 18, 1943 and is headquartered in Kanazawa, Japan.",Regional Banks
Admiral Group plc,"Admiral Group Plc operates as a holding company that engages in the business of sale and underwriting of private car insurance. The company operates through four segments: UK Car Insurance, International Car Insurance, Price Comparison and Other. The UK Car Insurance segment consists of the underwriting of car insurance and other products that supplement the car insurance policy. The International Car Insurance segment consists of the underwriting of car insurance and the generation of ancillary income from underwriting carRead More insurance outside of the UK. The Price Comparison segment operates price comparison websites which include Confused in the UK, Rastreator in Spain and LeLynx in France. The Other segment is designed to be comprised of all other operating segments that do not meet the threshold requirements for individual reporting. Admiral Group was founded by David Graham Stevens on September 24, 1999 and is headquartered in Cardiff, the United Kingdom.",Property & Casualty Insurance
Tasnee,"National Industrialization Co. engages in the petrochemical industry. Its activities include the manufacturing and processing of petrochemicals and chemicals, engineering and mechanical industries, management and acquisition of industrial projects, and marketing its products. It operates through the following segments: Industrial, Petrochemical, and Head office and Other. The Industrial segment operates in Kingdom of Saudi Arabia. The Petrochemical segment operates in the Kingdom of Saudi Arabia, Europe, Middle East, andRead More Asia.  Head Office and other segment represents investment. The company was founded on September 20, 1984 and is headquartered in Riyadh, Saudi Arabia",Conglomerates
Yamada Denki,"Yamada Denki Co., Ltd. engages in the sales of home electrical, nursing and health appliances, mobile phones, and information equipment. It operates through the following businesses: Home Appliances Sales, Personal Computer-Related Business, Housing and Real Estate Related Business, Home Appliance Repair and Recycling Related Business, Finance Related Business, Energy Related Business, FC-related Business, and Beauty and Health Related Business. Its products includes color televisions, washing machines, cooking appliances,Read More personal computers, telephones, fax machines, mobile phones, beauty supplies, jewelries, clothing, and housing-related products. The company was founded by Noboru Yamada in April 1973 and is headquartered in Takasaki, Japan.",Computer & Electronics Retail
Ruentex Development,"Ruentex Development Co., Ltd. engages in the development, rental, and sale of commercial and residential buildings. It also provides interior design and property management services. The company was founded on September 12, 1977 and is headquartered in Taipei, Taiwan.",1977
United Utilities,"United Utilities Group Plc provides water and sewage services. It collects water from catchment land and involves in property management services. The company also offers various value added services comprising waste to energy consultancy; engineering advisory services on design, build, and operation of on-site treatment plants; and rainwater harvesting and greywater recycling services. It also extracts water from Lake Vyrnwy in Wales for customers in Merseyside and Cheshire and also from River Dee, boreholes and streams.Read More The company was founded on April 1, 1989 and is headquartered in Warrington, the United Kingdom.",Diversified Utilities
Salesforce.com,"salesforce.com, inc. is a customer relationship management company, which provides enterprise software. Its Customer Success Platform offers a comprehensive portfolio of services, such as sales force automation, customer service and support, marketing automation, digital commerce, community management, analytics, application development, IoT integration, collaborative productivity tools and professional cloud services. The company enables industries and companies of all sizes to connect their customers using cloud, social,Read More mobile and data science technologies. It also encourages third parties to develop additional functionality and new apps that run on its platform and other developer tools. salesforce.com was founded by Marc Russell Benioff, Parker Harris, David Moellenhoff, and Frank Dominguez in February 1999 and is headquartered in San Francisco, CA.",Software & Programming
ENGIE,"ENGIE SA engages in the provision of electricity, natural gas, and energy related services. It is active throughout the entire energy value chain, in electricity and natural gas, upstream to downstream in: purchasing, production and marketing of natural gas and electricity; transmission, storage, distribution, management and development of major natural gas infrastructures and energy services. The company was founded on April 8, 1946 and is headquartered in Courbevoie, France.",Electric Utilities
Taiheiyo Cement,"Taiheiyo Cement Corp. engages in the manufacture and distribution of cement. It operates through the following segments: Cement, Mineral Resources, Environmental, Construction Materials, Ceramics and Electronics and Other. The Cement segment manufactures cement and ready-mixed concrete. The Mineral Resources segment offers mined aggregates and limestone products. The Environmental segment engages in waste recycling. The Construction Materials segment manufactures concrete products, autoclaved lightweight aerated concrete,Read More and chemicals. The Ceramics and Electronics segment offers ceramic and electronic products. The Other segment includes real estate, engineering, data processing, finance, transportation and warehousing, and sports facilities. The company was founded in May 1881 and is headquartered in Tokyo, Japan.",Construction Materials
SK Networks,"SK Networks Co., Ltd. is engaged in the distribution of energy, trade, and resource development projects. Its business divisions are the following: Trading and Investment, Information and Communication, Petroleum products, Car-Life, Fashion, Consumer Goods, and Walkerhill. The Trading and Investment division provides resources, chemicals, and steel. The Information and Communication division includes information and communications technology distribution and service. The Car-Life division offers light car repair, emergencyRead More road service, car rental, and new car sales. The Fashion division offers clothes under the brand name: Obzee, O'2nd, HANii Y, Tommy Hilfiger, Tommy Hilfiger Denim, DKNY, Donna Karan Collection, CLUB MONACO, Elie Tahari, CK Calvin Klein, and SMART. The Consumer Goods division includes wine, real estate and logistics, and SK pinx. The Walkerhill division provides Sheraton Grande and W Seoul Walkerhill and Walkerhill Duty-free Shop. The company was founded on April 28, 1953 and is headquartered in Suwon, South Korea.",Trading Companies
Saudi Arabian Fertilizers,"Saudi Arabian Fertilizer Co. engages in the manufacture and conversion of urea and ammonia and the production of fertilizer products. Its products include ammonia; urea; melamine; sulfuric acid; as well as nitrogenous, phosphastic, and compound fertilizers. It also engages in establishing, acquiring, and operating chemical and non-chemical factories for chemical expansion. The company was founded on September 7, 1965 and is headquartered in Jubail Industrial City, Saudi Arabia.",Specialized Chemicals
Higo Bank,"Higo Bank, Ltd. engages in providing commercial banking services. The main business of the Bank is procuring funds from deposits accepted from individual and corporate customers and from financial markets. It operates through the following business divisions: Lending, Securities Investment, and Other. The Lending division involves loans, provided to small- and medium-sized enterprises and individual customers. The Securities Investment division involves investment activities in Japanese government bonds and public debtRead More securities. The Bank also invests and trades in corporate bonds, stocks, foreign securities, and other financial instruments. The Other division involves credit card business, business credit guarantee, and leasing business. The company was founded on July 25, 1925 and is headquartered in Kumamoto, Japan.",Regional Banks
Japan Securities,"Japan Securities Co., Ltd. engages in the provision of lending and financing services. It operates through the following segments: Securities Finance, Trust Banking, and Real Estate Management. The Securities Finance segment provides loans for margin transactions, bond financing and general loans, and securities lending services. The Trust Banking segment deals with banking and securities trust businesses. The Real Estate Management segment manages leasing of real estate properties. The company was founded on July 8, 1927Read More and is headquartered in Tokyo, Japan.",Investment Services
Hyakujushi Bank,"The Hyakujushi Bank, Ltd. engages in the provision of financial services. It operates through the following segments: Banking, Leasing, and Others. The Banking segment offers deposits, loans, marketable securities and investments, and foreign currency exchange services. The Leasing segment handles financial leasing activities. The Others segment includes credit card and credit guarantee operations. The company was founded on November 1, 1878 and is headquartered in Takamatsu, Japan.",Regional Banks
Remgro,"Remgro Ltd. operates as an investment holding company. It invests in food, liquor, home care, Banking, Healthcare, insurance, industrial, infrastructure, as well as media and sport. The company was founded by Anthony Edward Rupert in 1940 and is headquartered in Stellenbosch, South Africa.",Conglomerates
China Yangtze Power,"China Yangtze Power Co., Ltd. engages in hydropower generation. The company's business includes electric power production, management and investment, technological consultation for electric power production, overhaul and maintenance for hydropower works. The company was founded on November 4, 2002 and is headquartered in Beijing, China.",Electric Utilities
Fast Retailing,"FAST RETAILING CO., LTD. engages in the control and management of its group companies specializing in casual wear. It operates through the following segments: UNIQLO Japan, UNIQLO International, Global Brands, and Others. The UNIQLO Japan segment handles the expansion of UNIQLO business in Japan. The UNIQLO International segment manages the expansion of UNIQLO business overseas. The Global Brands segment deals with the planning, manufacture, and sale of apparel in domestic and overseas markets through the brands: Theory,Read More Comptoir des Cotonniers, Princess tam.tam and GU. The Others segment offers real estate leasing services. The company was founded by Hitoshi Yanai in March 1949 and is headquartered in Tokyo, Japan.",Apparel/Footwear Retail
Qingdao Haier,"Qingdao Haier Co., Ltd. engages in the manufacture and sale of household electrical appliances. Its products include refrigerators, freezers, dishwashers, microwaves, wine cellars, beer dispensers, beverages centers, light-emitting diode television, high definition and digital video disc combo, laundry washers and dryers, room air conditioners, portable air conditioners, dehumidifiers, through-the-wall air, heat or cool air conditioners, ductless split air conditioners, and package terminal air conditioners. The company wasRead More founded in 1984 and is headquartered in Qingdao, China.",Household Appliances
Cabot Oil & Gas,"Cabot Oil & Gas Corp. is an independent oil and gas company. It is engaged in the development, exploitation, exploration, production and marketing of natural gas, crude oil and, to a lesser extent, natural gas liquids from its properties in the continental United States. The company also transports, stores, gathers and produces natural gas for resale. Its exploitation and exploration activities are concentrated in areas with known hydrocarbon resources, which are conducive to multi-well, repeatable drilling programs. CabotRead More Oil & Gas was founded in 1990 and is headquartered in Houston, TX.",Oil & Gas Operations
NetDragon Websoft,"NetDragon Websoft, Inc. operates as an investment holding company which engages in developing and operating online games. Its principal activities of the company and its subsidiaries are online game development, including game design, programming and graphics and online game operation. In addition, NetDragon also directly operates its titles in overseas markets since 2004 in English, French, Spanish and other foreign languages. The Group's game portfolio comprises a range of games that cater to various types of players andRead More gaming preferences, current offerings include the following games: Way of the Five, Eudemons Online, Conquer Online, Zero Online, and Heroes of Might & Magic Online. The Group also has several games currently in development, including Tian Yuan, Disney Fantasy Online, CJ7 Online, Dungeon Keeper Online and a new version of Ultima Online. The company was founded in May 1999 and is headquartered Fuzhou, China.",Recreational Products
FCC,"Fomento de Construcciones y Contratas SA provides infrastructure construction, project management, and concessionary services. It operates through the following segments: Environmental services, Integral water-cycle management, Construction and Cement. The Environmental Services segment engages in the provision of services that are related to urban cleaning, industrial waste treatment and waste-to-energy systems.  The Integral water-cycle management segment covers services related to the integral water cycle: collection,Read More treatment and distribution of water for human consumption; wastewater collection, filtering and treatment; design, construction, operation and maintenance of water infrastructure for municipal, industrial, agricultural and other services. The Construction segment specializes in infrastructure construction projects, building construction and related activities, such as motorways, freeways and other roads, tunnels, bridges, hydraulic construction works, ports, airports, residential property developments, housing units, non-residential building construction, lighting, industrial air conditioning and heating systems and environmental restoration. The Cement segment engages in the operation of quarries and mineral deposits, the manufacture of cement, lime, plaster and related pre-manufactured and the production of concrete. The company was founded in March 1992 and is headquartered in Barcelona, Spain.",Construction Services
Gemalto,"Gemalto NV is engaged in the provision of software development solutions for digital security. It operates through the following segments: Mobile Communication, Machine-to-Machine, Secure Transactions, Security, and Patents. The Mobile Communications segment provides secure operating systems and applications embedded in a wide range of Subscriber Identity Module and Universal Integrated Circuit cards, client-server software to remotely manage mobile devices, and services including roaming optimization, mobile money, mobileRead More payment, mobile marketing, and personal data management. The Machine-to-Machine (M2M) segment offers products and services which includes M2M modules and Machine Identification Modules (MIM), plus MIM personalization and application and device management platforms. The Secure Transactions segment involves secure operating systems and applications embedded in electronic modules and a range of chip card and contactless payment solutions and services, plus mobile financial solutions. The Security segment includes ePassports and secures electronic documents for eID, eHealth, eDriving license, eVoting, and other eGovernment initiatives, as well as services such as enrollment and issuance. The Patents segment covers the licensing of intellectual property rights.  The company was founded on December 10, 2002 and is headquartered in Amsterdam, the Netherlands.",Electronics
Grupo Argos,"Inversiones Argos SA is an investment holding company, which engages in the investments in goods, chattels assets and real estate property, especially in shares, stocks or parts of interest or any other equity securities, in companies, entities, organizations, funds or any other lawful form that allows investment of funds. It also engages in the production, distribution, and sale of cement, concrete mixes, and other material. It operates through the Energy and Cement businesses. The Energy business deals with the powerRead More generation. The Cement business engages in the cement and concrete operations. The company was founded on February 27, 1934 and is headquartered in Medellin, Colombia.",Construction Materials
Guaranty Trust Bank,"Guaranty Trust Bank Plc engages in investment, corporate, commercial, SME and retail banking business. It operates through five segments: Retail Banking, Corporate Banking, Commercial Banking, SME Banking and Public Sector. The Retail Banking segment provides private banking services, private customer current accounts, savings deposits, investment savings products, custody, credit and debit cards, customer loans and mortgages. The Corporate Banking segment incorporates current accounts, deposits, overdrafts, loans and otherRead More credit facilities, foreign currency and derivative products to very large corporate customers and blue chips. The Commercial Banking segment provides products for mid-size and fledgling corporate customers. The SME banking segment offers products to small and medium size enterprises and ventures. The Public Sector segment provides banking products for government ministries, departments and agencies. The company was founded by Tajudeen Afolabi Adeola and Olutayo Aderinokun on July 20, 1990 and is headquartered in Lagos, Nigeria.",Regional Banks
GS Engineering,"GS Engineering & Construction Corp. engages in the construction and civil engineering services. It operates through the following businesses: Plant, Power Environment, Housing, Architecture, Civil Engineering and Development. The Plant business include petrochemical oil and gas. The Power Environment business provides water and wastewater treatment, waste treatment and recycling, combined cycle and thermal power plant, nuclear power plant, co-generation and district heating. The Housing business offers apartments andRead More housing projects. The Architecture business includes office buildings, education, research and medical healthcare facilities, culture, leisure, sports facilities, clean rooms, manufacturing facilities, logistics and remodeling. The Civil business provides roads, bridges and railroads, underground spaces, river development and marine works. The Development business includes domestic and overseas development projects. It was founded on December 19, 1969 and is headquartered in Seoul, South Korea.",Construction Services
China Merchants Securities,"China Merchants Securities Co., Ltd. engages in investment banking. Its business activities include securities brokerage, investment consulting, financial advisors and securities trading, and asset management. It also engages in the provision of intermediary services for future companies, as well as the sale of securities investment fund. The company was founded on August 3, 1991 and is headquartered in Shenzhen, China.",Investment Services
